@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute aX numeric
@attribute aY numeric
@attribute aZ numeric
@attribute gX numeric
@attribute gY numeric
@attribute gZ numeric
@attribute pitch numeric
@attribute roll numeric
@attribute yaw numeric
@attribute yawing numeric
@attribute pitching numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
104,'2021/03/11 15:16:10:947',5,-0.000639,0.000685,-0.007714,-0.000125,-0.000035,0.000707,0.014403,-0.051452,-3.089298,1,?,?,?,?
105,'2021/03/11 15:16:10:978',5,-0.001733,-0.000926,-0.008765,0.002865,0.000958,-0.000984,0.014424,-0.051426,-3.08932,1,?,?,?,?
106,'2021/03/11 15:16:11:013',5,-0.000708,-0.001755,-0.008702,0.000366,0.004346,-0.000502,0.014435,-0.051383,-3.089304,1,?,?,?,?
107,'2021/03/11 15:16:11:048',5,0.000609,-0.000262,-0.008457,-0.001066,-0.000268,-0.000043,0.014387,-0.051372,-3.0893,1,?,?,?,?
108,'2021/03/11 15:16:11:090',5,0.000795,0.000676,-0.008272,0.000947,-0.001535,-0.000855,0.01444,-0.05133,-3.089302,1,?,?,?,?
109,'2021/03/11 15:16:11:119',5,0.000458,0.000753,-0.007922,0.000449,-0.00012,-0.001362,0.014486,-0.051329,-3.089326,1,?,?,?,?
110,'2021/03/11 15:16:11:158',5,-0.000991,-0.000964,-0.009004,-0.000256,0.00091,0.000705,0.014493,-0.051298,-3.089329,1,?,?,?,?
111,'2021/03/11 15:16:11:195',5,-0.000508,-0.001432,-0.00929,0.000119,0.001561,-0.000911,0.014453,-0.051232,-3.089338,1,?,?,?,?
112,'2021/03/11 15:16:11:226',5,-0.000356,0.000566,-0.010066,0.000275,-0.000896,-0.000782,0.014452,-0.0512,-3.089337,1,?,?,?,?
113,'2021/03/11 15:16:11:275',5,0.000202,0.001748,-0.007827,0.000036,0.001078,0.001237,0.014474,-0.051256,-3.089358,1,?,?,?,?
114,'2021/03/11 15:16:11:299',5,-0.000988,0.000821,-0.009246,-0.00316,0.001093,-0.000286,0.014463,-0.05127,-3.089387,1,?,?,?,?
